0.000000000000000000e+00	3.052425943633549910e-01	1.444147855057265339e-01	3.026080811641686519e-01	1.350576897542167532e-01
2.999999999999999889e-01	3.065972771349714243e-01	1.499531081144266920e-01	3.114743408851246564e-01	1.488192272151799556e-01
5.999999999999999778e-01	3.124069268417771772e-01	1.584741753309622803e-01	3.203406006060806055e-01	1.625807646761431580e-01
8.999999999999999112e-01	3.308236564151101344e-01	1.842318890461714931e-01	3.292068603270366101e-01	1.763423021371063604e-01
1.199999999999999956e+00	3.168036852281119198e-01	1.900385509496426428e-01	3.380731200479925591e-01	1.901038395980695628e-01
1.500000000000000000e+00	3.444671356653552508e-01	1.919948485047240361e-01	3.469393797689485637e-01	2.038653770590327652e-01
1.799999999999999822e+00	3.429228535118250543e-01	2.115015292136947778e-01	3.558056394899045127e-01	2.176269145199959676e-01
2.100000000000000089e+00	3.886014685338344266e-01	2.350614989828833656e-01	3.646718992108605173e-01	2.313884519809591978e-01
2.399999999999999911e+00	4.043715201388277114e-01	2.351812103244006469e-01	3.735381589318164663e-01	2.451499894419224002e-01
2.699999999999999734e+00	3.926521712823509702e-01	2.551745217233943319e-01	3.824044186527724709e-01	2.589115269028855471e-01
3.000000000000000000e+00	3.729017553508768290e-01	2.693791073768646571e-01	3.912706783737284200e-01	2.726730643638487495e-01
3.299999999999999822e+00	4.027697392985828406e-01	2.902154042780827892e-01	4.001369380946844245e-01	2.864346018248119519e-01
3.599999999999999645e+00	4.154317627145890368e-01	2.972086782553014506e-01	4.090031978156404291e-01	3.001961392857751543e-01
3.899999999999999911e+00	4.107404632086236185e-01	3.224217222178239473e-01	4.178694575365963781e-01	3.139576767467384122e-01
4.200000000000000178e+00	4.213622141212497452e-01	3.345216392432547869e-01	4.267357172575523827e-01	3.277192142077016146e-01
4.500000000000000000e+00	4.589682671151351645e-01	3.320599005828449579e-01	4.356019769785083318e-01	3.414807516686648170e-01
4.799999999999999822e+00	4.373383361177310413e-01	3.836649058219154251e-01	4.444682366994643363e-01	3.552422891296280194e-01
5.099999999999999645e+00	4.722927647100136905e-01	3.558987358050192396e-01	4.533344964204202854e-01	3.690038265905911663e-01
5.399999999999999467e+00	4.503639378700062812e-01	3.860882985474984874e-01	4.622007561413762344e-01	3.827653640515543687e-01
5.700000000000000178e+00	4.606015773372437172e-01	3.874797730112177763e-01	4.710670158623322390e-01	3.965269015125176821e-01
6.000000000000000000e+00	4.679241893333880298e-01	4.180002718349241642e-01	4.799332755832882436e-01	4.102884389734807735e-01
6.299999999999999822e+00	4.898994848595819573e-01	4.172197734044933992e-01	4.887995353042442481e-01	4.240499764344439759e-01
