method,plan_fit_energy_mean,plan_fit_energy_sem,plan_fit_energy_std,plan_fit_energy_count,excess_energy_mean,excess_energy_sem,excess_energy_std,excess_energy_count,normalized_excess_mean,normalized_excess_sem,normalized_excess_std,normalized_excess_count,target_mismatch_mean,target_mismatch_sem,target_mismatch_std,target_mismatch_count,monge_defect_mean,monge_defect_sem,monge_defect_std,monge_defect_count,average_split_score_mean,average_split_score_sem,average_split_score_std,average_split_score_count,average_effective_support_mean,average_effective_support_sem,average_effective_support_std,average_effective_support_count,intrinsic_tangent_discrepancy_mean,intrinsic_tangent_discrepancy_sem,intrinsic_tangent_discrepancy_std,intrinsic_tangent_discrepancy_count,hadamard_gap_rhs_mean,hadamard_gap_rhs_sem,hadamard_gap_rhs_std,hadamard_gap_rhs_count,hadamard_gap_ratio_rhs_over_lhs_mean,hadamard_gap_ratio_rhs_over_lhs_sem,hadamard_gap_ratio_rhs_over_lhs_std,hadamard_gap_ratio_rhs_over_lhs_count,accuracy_mean,accuracy_sem,accuracy_std,accuracy_count,balanced_accuracy_mean,balanced_accuracy_sem,balanced_accuracy_std,balanced_accuracy_count,macro_f1_mean,macro_f1_sem,macro_f1_std,macro_f1_count,class_prototype_alignment_mean,class_prototype_alignment_sem,class_prototype_alignment_std,class_prototype_alignment_count,intrinsic_iterations_tangent_init_mean_mean,intrinsic_iterations_tangent_init_mean_sem,intrinsic_iterations_tangent_init_mean_std,intrinsic_iterations_tangent_init_mean_count,ot_seconds_mean,ot_seconds_sem,ot_seconds_std,ot_seconds_count
Identity,4.9046270666173974,0.18102689788124401,0.9406433540006922,27,3.615220545324211,0.17078722085540393,0.8874364314151397,27,2.951364759351057,0.2073906162050398,1.0776332528404389,27,4.9046270666173974,0.18102689788124401,0.9406433540006922,27,1.289406521293187,0.05954784484371034,0.3094196782516041,27,0.6666666666666669,0.0,0.0,27,3.000000000000076,2.883634311500545e-15,1.4983803413903528e-14,27,0.004779385609046085,0.0006581137116095715,0.0034196591569965284,27,3.556117290431573,0.1695613843387533,0.8810667980293034,27,0.9833858263935852,0.0011230794605251808,0.005835692059699976,27,0.5397376543209876,0.025774910081435246,0.13393036146469534,27,0.5397376543209876,0.025774910081435246,0.13393036146469534,27,0.5180653408973609,0.02785391212704745,0.14473317298081526,27,1.785144199712951,0.07777803159007984,0.4041465072801463,27,6.8188657407407405,0.1401177422768522,0.728073145996049,27,0.4442450941860443,0.12416407418573526,0.6451754548933343,27
Intrinsic,1.289406521293187,0.05954784484371034,0.3094196782516041,27,0.0,0.0,0.0,27,0.0,0.0,0.0,27,1.288446103932965,0.05970380740438992,0.31023008348913084,27,1.289406521293187,0.05954784484371034,0.3094196782516041,27,0.6666666666666669,0.0,0.0,27,3.000000000000076,2.883634311500545e-15,1.4983803413903528e-14,27,0.004779385609046085,0.0006581137116095715,0.0034196591569965284,27,4.3820075430782934e-26,8.883865971190782e-27,4.6161921689203985e-26,27,4.3820075430782934e-11,8.88386597119078e-12,4.6161921689203975e-11,27,0.5520833333333334,0.033751568087567976,0.17537829228836418,27,0.5520833333333334,0.03375156808756799,0.17537829228836427,27,0.5434296802662134,0.03475410519075994,0.18058762788596838,27,0.6007384115984061,0.02263621801657586,0.11762123908774615,27,6.8188657407407405,0.1401177422768522,0.728073145996049,27,0.4442450941860443,0.12416407418573526,0.6451754548933343,27
Log-Euclidean,1.3058534561216901,0.061313324788687,0.3185933811449345,27,0.01644693482850312,0.0018335450118612848,0.009527379355524675,27,0.011928747937728456,0.0007554017427792805,0.00392518259585937,27,1.3048608674751885,0.061475109237372934,0.31943403779993024,27,1.289406521293187,0.05954784484371034,0.3094196782516041,27,0.6666666666666669,0.0,0.0,27,3.000000000000076,2.883634311500545e-15,1.4983803413903528e-14,27,0.004779385609046085,0.0006581137116095715,0.0034196591569965284,27,0.015348592219263492,0.001664589805164669,0.008649462348919156,27,0.940040067281238,0.0026270108954990676,0.013650349029124199,27,0.5547839506172839,0.033321054914312496,0.1731412802201456,27,0.5547839506172839,0.033321054914312496,0.1731412802201456,27,0.5459547102398999,0.03438289086612795,0.1786587416736885,27,0.6127065567059232,0.02319034640585555,0.12050057466019236,27,6.8188657407407405,0.1401177422768522,0.728073145996049,27,0.4442450941860443,0.12416407418573526,0.6451754548933343,27
MAP,2.586482711648719,0.11912237971933007,0.6189780419771763,27,1.2970761903555317,0.05967974761593018,0.310105065161036,27,1.006426163144644,0.004575546580519239,0.023775237449572093,27,2.170785072895348,0.10254105233322583,0.5328189375081789,27,1.289406521293187,0.05954784484371034,0.3094196782516041,27,0.6666666666666669,0.0,0.0,27,3.000000000000076,2.883634311500545e-15,1.4983803413903528e-14,27,0.004779385609046085,0.0006581137116095715,0.0034196591569965284,27,1.284434084045139,0.05837844941328122,0.3033433213526778,27,0.9908384734473861,0.0005224637615602153,0.0027148013404075327,27,0.5397376543209876,0.031560252770163,0.16399188389291616,27,0.5397376543209876,0.03156025277016301,0.1639918838929162,27,0.5314957012227359,0.0322346202732918,0.1674960002280935,27,0.6999759015000178,0.023350351566519278,0.12133198586342074,27,6.8188657407407405,0.1401177422768522,0.728073145996049,27,0.4442450941860443,0.12416407418573526,0.6451754548933343,27
Tangential,1.2919664174866607,0.059884520047428225,0.31116909392706804,27,0.0025598961934738336,0.0003607259967992179,0.0018743872622015206,27,0.0018112624528365815,0.0001630430680002311,0.0008471966327949229,27,1.2910124869045734,0.060039229864299416,0.3119729897168198,27,1.289406521293187,0.05954784484371034,0.3094196782516041,27,0.6666666666666669,0.0,0.0,27,3.000000000000076,2.883634311500545e-15,1.4983803413903528e-14,27,0.004779385609046085,0.0006581137116095715,0.0034196591569965284,27,0.0023896928045230186,0.00032905685580478754,0.0017098295784982735,27,0.9417666203708314,0.002532626591200582,0.013159913797678141,27,0.5497685185185185,0.03350489543085678,0.17409654356557883,27,0.5497685185185185,0.03350489543085679,0.17409654356557885,27,0.5409090939053119,0.034521708040554884,0.17938005687090025,27,0.6035111175208442,0.02275599643459706,0.11824362600473498,27,6.8188657407407405,0.1401177422768522,0.728073145996049,27,0.4442450941860443,0.12416407418573526,0.6451754548933343,27
