method,plan_fit_energy_mean,plan_fit_energy_sem,plan_fit_energy_std,plan_fit_energy_count,excess_energy_mean,excess_energy_sem,excess_energy_std,excess_energy_count,normalized_excess_mean,normalized_excess_sem,normalized_excess_std,normalized_excess_count,target_mismatch_mean,target_mismatch_sem,target_mismatch_std,target_mismatch_count,monge_defect_mean,monge_defect_sem,monge_defect_std,monge_defect_count,average_split_score_mean,average_split_score_sem,average_split_score_std,average_split_score_count,average_effective_support_mean,average_effective_support_sem,average_effective_support_std,average_effective_support_count,tangent_defined_fraction_mean,tangent_defined_fraction_sem,tangent_defined_fraction_std,tangent_defined_fraction_count,intrinsic_tangent_discrepancy_mean,intrinsic_tangent_discrepancy_sem,intrinsic_tangent_discrepancy_std,intrinsic_tangent_discrepancy_count,ot_seconds_mean,ot_seconds_sem,ot_seconds_std,ot_seconds_count
Ambient,0.0008144267677979281,0.0001098667125844421,0.0006214999799610593,32,2.3041044047449782e-10,7.949071915314021e-11,4.496674124366465e-10,32,1.470429780204035e-07,4.338207826150091e-08,2.4540609376538245e-07,32,0.0006706952907901093,8.546311700989786e-05,0.00048345239663230517,32,0.0008144265373874937,0.00010986665355275324,0.0006214996460273993,32,0.6666666666666667,0.0,0.0,32,3.0000000000000555,2.4392326953367134e-15,1.3798383838116239e-14,32,1.0,0.0,0.0,32,,,,0,2.7071080443147366,1.7656440566357199,9.987991084870737,32
Identity,1.8405716297937278,0.2680679616638519,1.516421388090921,32,1.8397572032563403,0.26804669480549387,1.5163010845728453,32,3987.130827745603,821.1002893741113,4644.844661205364,32,1.8405716297937278,0.2680679616638519,1.516421388090921,32,0.0008144265373874937,0.00010986665355275324,0.0006214996460273993,32,0.6666666666666667,0.0,0.0,32,3.0000000000000555,2.4392326953367134e-15,1.3798383838116239e-14,32,1.0,0.0,0.0,32,,,,0,2.7071080443147366,1.7656440566357199,9.987991084870737,32
Intrinsic,0.0008144265373874937,0.00010986665355275324,0.0006214996460273993,32,0.0,0.0,0.0,32,0.0,0.0,0.0,32,0.0006707796980552875,8.54806520140758e-05,0.00048355158959520407,32,0.0008144265373874937,0.00010986665355275324,0.0006214996460273993,32,0.6666666666666667,0.0,0.0,32,3.0000000000000555,2.4392326953367134e-15,1.3798383838116239e-14,32,1.0,0.0,0.0,32,0.0,0.0,0.0,32,2.7071080443147366,1.7656440566357199,9.987991084870737,32
MAP,0.0015360434109127938,0.0002078023941141281,0.0011755078561991959,32,0.0007216168735252437,9.850115130687869e-05,0.0005572066563502085,32,0.9044612416441209,0.022756295703990903,0.12872904805582613,32,0.0008695180604100188,0.0001085374605500423,0.0006139805949416183,32,0.0008144265373874937,0.00010986665355275324,0.0006214996460273993,32,0.6666666666666667,0.0,0.0,32,3.0000000000000555,2.4392326953367134e-15,1.3798383838116239e-14,32,1.0,0.0,0.0,32,,,,0,2.7071080443147366,1.7656440566357199,9.987991084870737,32
Tangential,0.0015061307351654717,0.0006654583842894027,0.003764401089027841,32,0.0006917041977779664,0.0006702451085495947,0.0037914788905002565,32,1.79098432763845,1.748719684275989,9.892252377167601,32,0.0013512187191829594,0.0006527782747012489,0.0036926715572200637,32,0.0008144265373874937,0.00010986665355275324,0.0006214996460273993,32,0.6666666666666667,0.0,0.0,32,3.0000000000000555,2.4392326953367134e-15,1.3798383838116239e-14,32,1.0,0.0,0.0,32,0.0013840500754872384,0.0013410864413402382,0.00758633053463214,32,2.7071080443147366,1.7656440566357199,9.987991084870737,32
