0.000000000000000000e+00	8.345256187480833630e-12	2.879370858090883554e-13
2.500000000000000000e-01	5.014050726313144975e-03	3.217324799334163668e-03
1.000000000000000000e+00	2.031489562243222677e-02	1.302120556356385281e-02
2.250000000000000000e+00	4.584703925997019730e-02	2.939632085617632090e-02
4.000000000000000000e+00	8.163914959877728583e-02	5.288447020575404861e-02
6.250000000000000000e+00	1.298436087369918557e-01	8.509944577235724339e-02
9.000000000000000000e+00	1.922291465103626307e-01	1.225561970844865622e-01
1.225000000000000000e+01	2.472586205601692566e-01	1.599700290244072953e-01
1.600000000000000000e+01	3.231280393898486314e-01	2.085374725982546695e-01
2.025000000000000000e+01	4.236378720402717013e-01	2.745953055098653284e-01
