experiment,dataset,subject,split,source_session,target_session,n_source,n_target_adapt,n_target_test,dimension,ot_seconds,split_score_avg,split_score_mean_unweighted,effective_support_avg,effective_support_mean_unweighted,active_support_mean,monge_defect,intrinsic_mismatch_over_monge_defect,intrinsic_tangent_discrepancy,intrinsic_iterations_tangent_init_mean,intrinsic_converged_tangent_init_fraction,label_agnostic_ot,method,plan_fit_energy,excess_energy,normalized_excess,target_mismatch,mismatch_seconds,hadamard_gap_rhs,hadamard_gap_ratio_rhs_over_lhs,accuracy,balanced_accuracy,macro_f1,class_prototype_alignment,source_file,source_dir,beta,dispersion,seed,n_target,intrinsic_iterations_source_init_mean,intrinsic_converged_source_init_fraction,alpha,cap_radius,tangent_defined_fraction,intrinsic_iterations_mean,intrinsic_converged_fraction
eeg_spd,BNCI2014_001,1.0,0.0,0train,1test,64,192.0,96.0,22.0,1.3426524999958929,0.6666666666666667,0.6666666666666667,3.0000000000000777,3.0000000000000777,3.0,1.1020990526573025,0.999999999999999,0.0022628928176576,6.25,1.0,True,intrinsic,1.1020990526573025,0.0,0.0,1.1020990526573011,0.0006584170041605,1.99433292859186e-26,1.99433292859186e-11,0.7708333333333334,0.7708333333333334,0.7654443117857752,0.4907724027912351,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/summary.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,,,,,,
eeg_spd,BNCI2014_001,1.0,0.0,0train,1test,64,192.0,96.0,22.0,1.3426524999958929,0.6666666666666667,0.6666666666666667,3.0000000000000777,3.0000000000000777,3.0,1.1020990526573025,0.999999999999999,0.0022628928176576,6.25,1.0,True,tangent,1.1032930449826983,0.0011939923253958,0.0010833802302224,1.1032930449826976,0.000604792003287,0.0011314464088288,0.9476161485826132,0.7708333333333334,0.7708333333333334,0.7654443117857752,0.492973597633324,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/summary.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,,,,,,
eeg_spd,BNCI2014_001,1.0,0.0,0train,1test,64,192.0,96.0,22.0,1.3426524999958929,0.6666666666666667,0.6666666666666667,3.0000000000000777,3.0000000000000777,3.0,1.1020990526573025,0.999999999999999,0.0022628928176576,6.25,1.0,True,map,2.194252992489494,1.0921539398321911,0.9909762078089694,1.86127613896236,0.0008612919918959,1.0837648940540583,0.992318806468416,0.7291666666666666,0.7291666666666666,0.7235728108369618,0.5909699200147022,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/summary.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,,,,,,
eeg_spd,BNCI2014_001,1.0,0.0,0train,1test,64,192.0,96.0,22.0,1.3426524999958929,0.6666666666666667,0.6666666666666667,3.0000000000000777,3.0000000000000777,3.0,1.1020990526573025,0.999999999999999,0.0022628928176576,6.25,1.0,True,log_euclidean,1.1135018645010133,0.0114028118437108,0.0103464491836892,1.113501864501012,0.0005640000017592,0.01071682801484,0.939840818363666,0.75,0.75,0.745461060678452,0.5059161243097311,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/summary.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,,,,,,
eeg_spd,BNCI2014_001,1.0,0.0,0train,1test,64,192.0,96.0,22.0,1.3426524999958929,0.6666666666666667,0.6666666666666667,3.0000000000000777,3.0000000000000777,3.0,1.1020990526573025,0.999999999999999,0.0022628928176576,6.25,1.0,True,identity,3.3611021858244703,2.259003133167168,2.0497278604136544,3.3611021858244703,0.0008692909905221,2.2241808298473345,0.9845851018050552,0.71875,0.71875,0.7105979748221127,1.1358284945935908,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/summary.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,,,,,,
eeg_spd,BNCI2014_001,1.0,1.0,0train,1test,64,192.0,96.0,22.0,0.0012068750074831,0.6666666666666667,0.6666666666666667,3.0000000000001164,3.0000000000001164,3.0,1.0918898282225142,0.999999999999999,0.0024004850882192,6.359375,1.0,True,intrinsic,1.0918898282225142,0.0,0.0,1.0918898282225131,0.0002687919914023,2.1183734674029382e-26,2.1183734674029378e-11,0.75,0.75,0.7495341221595021,0.4955862368352743,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/summary.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,,,,,,
eeg_spd,BNCI2014_001,1.0,1.0,0train,1test,64,192.0,96.0,22.0,0.0012068750074831,0.6666666666666667,0.6666666666666667,3.0000000000001164,3.0000000000001164,3.0,1.0918898282225142,0.999999999999999,0.0024004850882192,6.359375,1.0,True,tangent,1.093160387011899,0.001270558789385,0.001163632773696,1.0931603870118982,0.0005663329939125,0.0012002425441096,0.9446572280929564,0.75,0.75,0.7495341221595021,0.498208525713555,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/summary.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,,,,,,
eeg_spd,BNCI2014_001,1.0,1.0,0train,1test,64,192.0,96.0,22.0,0.0012068750074831,0.6666666666666667,0.6666666666666667,3.0000000000001164,3.0000000000001164,3.0,1.0918898282225142,0.999999999999999,0.0024004850882192,6.359375,1.0,True,map,2.210246368808451,1.1183565405859368,1.0242393615906356,1.8961781539980536,0.0008149170025717,1.1094913626369602,0.9920730307131465,0.71875,0.71875,0.7149245131767927,0.586843277410875,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/summary.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,,,,,,
eeg_spd,BNCI2014_001,1.0,1.0,0train,1test,64,192.0,96.0,22.0,0.0012068750074831,0.6666666666666667,0.6666666666666667,3.0000000000001164,3.0000000000001164,3.0,1.0918898282225142,0.999999999999999,0.0024004850882192,6.359375,1.0,True,log_euclidean,1.1034595067106077,0.0115696784880934,0.0105960127011419,1.1034595067106066,0.0003599579940782,0.0108605972494139,0.938712105145429,0.75,0.75,0.7495341221595021,0.5058592557688483,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/summary.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,,,,,,
eeg_spd,BNCI2014_001,1.0,1.0,0train,1test,64,192.0,96.0,22.0,0.0012068750074831,0.6666666666666667,0.6666666666666667,3.0000000000001164,3.0000000000001164,3.0,1.0918898282225142,0.999999999999999,0.0024004850882192,6.359375,1.0,True,identity,3.3971523231499705,2.3052624949274563,2.11125924552314,3.3971523231499705,0.0009784160065464,2.2693412872178587,0.9844177364666108,0.71875,0.71875,0.7189298796441653,1.152797796645344,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/summary.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,,,,,,
